Proportion,AnimalID,Date,NovelDay,Environment,StimCondition
36.3636363636364,4,230428,1,2,1
21.4285714285714,57,220329,1,2,1
29.0322580645161,62,221008,1,2,1
55.5555555555556,63,221007,1,2,1
84.6153846153846,65,221018,1,2,1
36.8421052631579,4,230429,2,2,1
32.1428571428571,57,220330,2,2,1
50,62,221009,2,2,1
25,63,221008,2,2,1
92.3076923076923,65,221019,2,2,1
32,4,230430,3,2,1
44.4444444444444,57,220331,3,2,1
40.9090909090909,62,221010,3,2,1
35.7142857142857,63,221009,3,2,1
71.4285714285714,65,221020,3,2,1
29.4117647058824,57,220403,1,2,2
63.3333333333333,61,220906,1,2,2
44.4444444444444,62,221011,1,2,2
47.8260869565217,63,221004,1,2,2
73.6842105263158,65,221021,1,2,2
47.8260869565217,57,220404,2,2,2
50,61,220907,2,2,2
52.9411764705882,62,221012,2,2,2
58.0645161290323,63,221005,2,2,2
100,65,221022,2,2,2
51.8518518518518,57,220405,3,2,2
36.6666666666667,61,220908,3,2,2
60.8695652173913,62,221013,3,2,2
47.6190476190476,63,221006,3,2,2
50,65,221023,3,2,2
